instruction,input,output,source,category
"Resume el paper 'Is One Layer Enough? Training A Single Transformer Layer Can Match Full-Parameter RL Training' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Zijian Zhang, Rizhen Hu, Athanasios Glentis
Categorías: cs.LG, cs.CL","Reinforcement learning (RL) has become a central component of post-training large language models (LLMs), yet little is understood about how RL adaptation is distributed across transformer layers. Existing approaches typically update all model parameters uniformly, implicitly assuming that every layer contributes similarly to the gains obtained during RL post-training. In this work, we challenge this assumption through a systematic layer-wise study of RL training. Surprisingly, we find that training a single transformer layer can recover most of the gains achieved by full-parameter RL training, and in some cases even surpass it. To quantify this phenomenon, we introduce the quantity layer contribution, which measures the fraction of full RL improvement recovered by training a layer in isolation. Across seven models spanning two model families (Qwen3, Qwen2.5), three RL algorithms (GRPO, GiGPO, Dr. GRPO), and multiple task domains including mathematical reasoning, code generation, and a",arxiv,cs.LG
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Is One Layer Enough? Training A Single Transformer Layer Can Match Full-Parameter RL Training,"Las aplicaciones prácticas incluyen Reinforcement learning (RL) has become a central component of post-training large language models (LLMs), yet little is understood about how RL adaptation is distributed across transformer layers. Existing approaches typically update all model parameters uniformly, implicitly assuming that every lay...",arxiv,cs.LG
"Resume el paper 'Brownian ratchets and pumps universally simulate many-body active dynamics' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Charles Stahl, Ethan Lake, Vedika Khemani
Categorías: cond-mat.stat-mech, quant-ph","Active systems can exhibit a broad range of phenomena forbidden in equilibrium. Their dynamics are often specified by abstract local update rules, and it is generally unclear when the same behavior can arise from physically natural driving. Here we show that two simple driving mechanisms can universally simulate any local active dynamics in spin systems. The first is the familiar setting of a time-periodic Hamiltonian coupled to a cold bath, which we call a ""many-body Brownian pump."" As a second mechanism, we promote the Brownian ratchet, traditionally a mechanism for transport, to a ""many-body Brownian ratchet"": a static Hamiltonian coupled to a hot bath and a cold bath, where the resulting steady heat current can be harnessed not only to drive transport but also to generate local active dynamics. Using probabilistic cellular automata as an explicit model, we prove that for any continuous-time (or discrete-time) local active dynamics, there is always a many-body Brownian ratchet (or p",arxiv,cond-mat.stat-mech
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Brownian ratchets and pumps universally simulate many-body active dynamics,"Las aplicaciones prácticas incluyen Active systems can exhibit a broad range of phenomena forbidden in equilibrium. Their dynamics are often specified by abstract local update rules, and it is generally unclear when the same behavior can arise from physically natural driving. Here we show that two simple driving mechanisms can univers...",arxiv,cond-mat.stat-mech
"Resume el paper 'Polynomial equivalence of the global transverse-field Ising model and the gate model of quantum computation' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Matthias Werner
Categorías: quant-ph, cond-mat.quant-gas","The transverse-field Ising model has attracted a lot of attention in recent years, especially in the quantum simulation and quantum computation literature. This interest is driven by many platforms for analog quantum computation, which implement the transverse-field Ising model for solving optimization problems, such as quantum annealing. However, it has remained an open question whether the Ising model with a global transverse field is equivalent to the gate model of quantum computation. Here we answer this question affirmatively for the case of a non-monotonic time-dependent transverse field. Building on a recent result by Cesa and Pichler on global control of Rydberg atoms, we provide a construction that allows simulating arbitrary quantum circuits using the Ising model with global transverse field with polynomial overhead in time, qubit number, and energy scale. Although the polynomial overheads we establish here are large relative to what is feasible on real-world quantum hardware",arxiv,quant-ph
¿Cuál es el enfoque de Quantum Machine Learning utilizado en este paper?,Título: Polynomial equivalence of the global transverse-field Ising model and the gate model of quantum computation,"Este paper utiliza técnicas de Quantum Machine Learning en el contexto de quant-ph. El enfoque principal es The transverse-field Ising model has attracted a lot of attention in recent years, especially in the quantum simulation and quantum computation literature. This interest is driven by many platforms for analog quantum computation, which implement the transverse-field Ising model for solving optimization problems, such as quantum annealing. However, it has remained an open question whether the Ising model with a global transverse field is equivalent to the gate model of quantum computation. Here w",arxiv,quant-ph
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Polynomial equivalence of the global transverse-field Ising model and the gate model of quantum computation,"Las aplicaciones prácticas incluyen The transverse-field Ising model has attracted a lot of attention in recent years, especially in the quantum simulation and quantum computation literature. This interest is driven by many platforms for analog quantum computation, which implement the transverse-field Ising model for solving optimizat...",arxiv,quant-ph
"Resume el paper 'Language-Critique Imitation Learning from Suboptimal Demonstrations' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Chih-Han Yang, Dai-Jie Wu, Yun-Ping Huang
Categorías: cs.LG, cs.AI","Prior work on imitation learning from suboptimal demonstrations typically relies on compressed supervision signals such as confidence estimates, discriminator scores, or importance weights. These scalar signals are inherently limited, as they cannot explicitly express intermediate reasoning about task progress, failure modes, or corrective actions. We propose a language-critique framework for imitation learning from suboptimal demonstrations that instead leverages natural language as a structured supervision signal, avoiding the collapse of expressive feedback into scalars. Our method first constructs language labels from demonstrations that explicitly describe current progress, identify suboptimal behaviors, and provide fine-grained corrective guidance. We then introduce a language-critique loss that directly trains policies using these structured signals without reducing them to scalars, and instantiate it for both behavior cloning and diffusion policies, yielding LC-BC and LC-DP. We",arxiv,cs.LG
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: Language-Critique Imitation Learning from Suboptimal Demonstrations,"Las aplicaciones prácticas incluyen Prior work on imitation learning from suboptimal demonstrations typically relies on compressed supervision signals such as confidence estimates, discriminator scores, or importance weights. These scalar signals are inherently limited, as they cannot explicitly express intermediate reasoning about ta...",arxiv,cs.LG
"Resume el paper 'AutoMem: Automated Learning of Memory as a Cognitive Skill' en español, enfocándote en los aspectos clave de Quantum Machine Learning.","Autores: Shengguang Wu, Hao Zhu, Yuhui Zhang
Categorías: cs.AI, cs.CL, cs.MA","Memory expertise is a learned skill: knowing what to encode, when to retrieve, and how to organize knowledge--a capacity known in cognitive science as metamemory. We bring this perspective to LLMs by treating memory management as a trainable skill. We promote file-system operations to first-class memory actions alongside task actions, letting the model itself decide how to manage its memory. This memory skill improves along two axes: the structure that supports it (prompts, file schemas, action vocabulary), and the proficiency of the model exercising it. Both axes resist manual optimization: episodes in long-horizon tasks run for thousands of steps, and a single memory mistake can hide long before it surfaces, making human review of full trajectories impractical. We introduce AutoMem, a framework that automates both axes. In the first loop, a strong LLM reviews complete agent trajectories and iteratively revises the memory structure that shapes how the agent interacts with its memory f",arxiv,cs.AI
¿Qué aplicación práctica tiene este paper en el campo de QML?,Paper: AutoMem: Automated Learning of Memory as a Cognitive Skill,"Las aplicaciones prácticas incluyen Memory expertise is a learned skill: knowing what to encode, when to retrieve, and how to organize knowledge--a capacity known in cognitive science as metamemory. We bring this perspective to LLMs by treating memory management as a trainable skill. We promote file-system operations to first-class me...",arxiv,cs.AI
